word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
IN,11
FOR,11
DUTERTES,10
DUTERTE,10
WE,9
WITH,8
PRESIDENT,8
MY,8
2020,7
COVID19,7
THAT,7
NI,7
THIS,7
A,6
MAY,6
I,6
AMP;,6
HIS,5
ON,5
UP,5
PA,5
TAG,5
IS,5
SONA2020,4
PRES,4
STATE,4
FIRST,4
RODRIGO,4
ROA,4
THEY,4
SI,4
YA,4
KO,4
DI,4
KA,4
YUNG,4
YOU,4
WAY,4
RIN,4
STUDENT,4
EVERYONE,3
FROM,3
SONAGKAISA,3
DURING,3
IF,3
HIM,3
WOULD,3
ARAW,3
PRESS,3
ONE,3
LANG,3
THA,3
KHARAASONA,3
SILA,3
CONGRESS,3
LIKE,3
DAPAT,3
NAMAN,3
COUNCIL,3
GLOBE,3
RAPPLERDOTCOM:,3
ITS,3
AT,3
ME,3
BEFORE,3
HER,3
OWN,3
ANCALERTS:,2
WHAT,2
SAID,2
ABOUT,2
COVID,2
GROUPS,2
NADINE,2
PROTEST,2
PLEASE,2
SENATE,2
LEADER,2
FRANKLIN,2
DRILON,2
WHICH,2
HE,2
NATION,2
WAKASONA2020,2
GMANEWS:,2
LOOK:,2
HEALTH,2
DILIMAN,2
ALSO,2
PROVIDED,2
THROUGH,2
OUR,2
WERE,2
TOTALLY,2
5,2
PARA,2
NEW,2
EXECUTIVE,2
KUNG,2
SAAN,2
POSTSONA,2
NGAYONG,2
CAN,2
GET,2
SAME,2
PASSAGE,2
BAYANIHAN,2
AS,2
ACT,2
RESPONSE,2
AGAINST,2
PANDEMIC,2
TOWERNAMBA:,2
